,0,1,2,3,4,5,6
0,Profit & Loss account of REC (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],29791.06,25309.72,22454.62,23587.30,23550.36,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],29791.06,25309.72,22454.62,23587.30,23550.36,
6,Total Operating Revenues,29791.06,25309.72,22454.62,23587.30,23638.35,
7,Other Income,63.92,31.44,12.73,183.28,117.93,
8,Total Revenue,29854.98,25341.16,22467.35,23770.58,23756.28,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,2409.19,904.09,617.32,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,175.79,157.53,172.42,178.07,137.44,
14,Finance Costs,18997.05,15641.54,13337.11,13450.35,14283.12,
15,Depreciation And Amortisation Expenses,10.00,7.17,5.65,5.04,5.45,
16,Other Expenses,390.10,290.00,153.58,168.60,195.21,
17,Total Expenses,22871.69,17240.66,16583.20,14911.53,15711.07,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",6983.29,8100.50,5884.15,8859.05,8045.21,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,6983.29,8100.50,5884.15,8859.05,8045.21,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,1615.87,1791.64,2180.59,2606.29,2477.89,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,481.26,545.14,-716.33,36.43,-57.57,
25,Tax For Earlier Years,0.00,0.00,0.00,-27.78,-2.77,
26,Total Tax Expenses,2097.13,2336.78,1464.26,2614.94,2417.55,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,4886.16,5763.72,4419.89,6244.11,5627.66,
28,Profit/Loss From Continuing Operations,4886.16,5763.72,4419.89,6245.76,5627.66,
29,Profit/Loss For The Period,4886.16,5763.72,4419.89,6245.76,5627.66,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),24.74,29.18,22.38,31.63,56.99,
33,Diluted EPS (Rs.),24.74,29.18,22.38,31.63,56.99,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,2172.41,2518.02,1984.79,1382.44,1688.55,
42,Tax On Dividend,435.78,506.84,397.88,277.46,341.71,
43,Equity Dividend Rate (%),110.00,110.00,92.00,97.00,171.00,
