,0,1,2,3,4,5,6
0,Profit & Loss account of Redington (India) (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],22720.67,18625.92,16844.98,15262.56,15758.69,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],22720.67,18625.92,16844.98,15262.56,15758.69,
6,Total Operating Revenues,22720.67,18632.57,16851.21,15262.58,15758.83,
7,Other Income,71.07,373.84,58.17,45.53,46.06,
8,Total Revenue,22791.74,19006.41,16909.38,15308.11,15804.89,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",57.70,414.59,-443.49,476.44,3.65,
13,Employee Benefit Expenses,152.18,144.19,138.79,131.95,117.67,
14,Finance Costs,42.43,104.81,121.59,98.86,80.91,
15,Depreciation And Amortisation Expenses,27.83,26.22,12.30,13.53,11.52,
16,Other Expenses,238.68,231.64,348.37,311.50,329.38,
17,Total Expenses,22324.02,18380.61,16683.60,15036.78,15491.80,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",467.72,625.80,225.78,271.33,313.09,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,467.72,625.80,225.78,271.33,313.09,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,204.39,130.18,80.20,91.62,100.94,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,6.02,-6.56,-4.21,3.80,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,204.39,136.20,73.64,87.41,104.74,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,263.33,489.60,152.14,183.92,208.35,
28,Profit/Loss From Continuing Operations,263.33,489.60,152.14,183.92,208.35,
29,Profit/Loss For The Period,263.33,489.60,152.14,183.92,208.35,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),6.77,12.58,3.84,4.60,5.21,
33,Diluted EPS (Rs.),6.75,12.58,3.84,4.60,5.21,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,295.70,96.04,91.96,163.93,
42,Tax On Dividend,0.00,0.00,15.92,14.32,29.84,
43,Equity Dividend Rate (%),580.00,215.00,165.00,120.00,215.00,
