,0,1,2,3,4,5,6
0,Profit & Loss account of Rail Vikas Nigam (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],14530.58,10060.07,7556.56,5919.62,4541.30,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],14530.58,10060.07,7556.56,5919.62,4541.30,
6,Total Operating Revenues,14530.58,10060.07,7556.56,5919.62,4541.30,
7,Other Income,265.58,272.63,224.80,247.56,180.23,
8,Total Revenue,14796.16,10332.70,7781.36,6167.18,4721.53,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,13415.82,9299.05,6983.17,5475.21,4188.94,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,189.94,162.10,140.34,119.77,95.25,
14,Finance Costs,40.99,51.98,44.72,35.45,23.08,
15,Depreciation And Amortisation Expenses,20.29,5.74,4.83,5.02,4.67,
16,Other Expenses,138.29,67.95,50.50,50.36,37.76,
17,Total Expenses,13805.32,9586.81,7223.57,5685.80,4349.70,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",990.84,745.89,557.79,481.38,371.83,
19,Exceptional Items,0.00,12.42,6.36,0.00,0.00,
20,Profit/Loss Before Tax,990.84,758.31,564.15,481.38,371.83,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,206.03,159.97,119.04,103.19,76.06,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-5.05,-8.25,-24.55,-3.42,-8.25,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,200.98,151.73,94.49,99.77,67.81,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,789.86,606.59,469.66,381.61,304.02,
28,Profit/Loss From Continuing Operations,789.86,606.59,469.66,381.61,304.02,
29,Profit/Loss For The Period,789.86,606.59,469.66,381.61,304.02,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),3.79,2.91,2.25,1.83,1.46,
33,Diluted EPS (Rs.),3.79,2.91,2.25,1.83,1.46,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,19.36,180.64,167.00,257.10,37.20,
42,Tax On Dividend,3.98,37.13,34.00,52.34,7.57,
43,Equity Dividend Rate (%),11.00,1.00,8.00,40.00,40.00,
