,0,1,2,3,4,5,6
0,Profit & Loss account of Schaeffler India (in Rs. Cr.),Dec 20,Dec 19,Dec 18,Dec 17,Dec 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],3716.63,4301.61,4502.58,4052.05,1944.02,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,173.98,148.84,
5,Revenue From Operations [Net],3716.63,4301.61,4502.58,3878.07,1795.18,
6,Total Operating Revenues,3761.84,4360.63,4561.51,3925.67,1813.90,
7,Other Income,60.30,63.21,90.80,59.55,68.26,
8,Total Revenue,3822.14,4423.84,4652.31,3985.22,1882.16,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1389.64,1730.75,1817.59,1642.68,682.87,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",52.27,15.83,-229.92,16.34,-59.11,
13,Employee Benefit Expenses,353.55,345.17,317.86,298.65,151.29,
14,Finance Costs,5.24,3.47,7.04,10.16,1.76,
15,Depreciation And Amortisation Expenses,193.97,158.71,148.50,138.16,64.10,
16,Other Expenses,539.03,632.28,630.46,563.17,283.96,
17,Total Expenses,3424.93,3889.22,3977.41,3391.86,1583.71,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",397.21,534.62,674.90,593.36,298.45,
19,Exceptional Items,0.00,-0.34,-43.20,-4.53,0.00,
20,Profit/Loss Before Tax,397.21,534.28,631.70,588.83,298.45,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,114.44,155.46,236.50,201.96,108.40,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-11.67,7.18,-13.25,-1.67,-6.98,
25,Tax For Earlier Years,3.47,4.00,-11.35,0.05,2.53,
26,Total Tax Expenses,106.24,166.64,211.90,200.34,103.95,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,290.97,367.64,419.80,388.49,194.50,
28,Profit/Loss From Continuing Operations,290.97,367.64,419.80,388.49,194.50,
29,Profit/Loss For The Period,290.97,367.64,419.80,388.49,194.50,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),93.10,117.60,134.30,233.75,117.05,
33,Diluted EPS (Rs.),93.10,117.60,134.30,233.75,117.05,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,269.32,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,413.55,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,20.94,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,56.40,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,109.41,93.78,28.24,19.94,19.94,
42,Tax On Dividend,0.00,19.28,5.81,4.17,4.17,
43,Equity Dividend Rate (%),380.00,350.00,300.00,170.00,120.00,
