,0,1,2,3,4,5,6
0,Profit & Loss account of Shipping Corporation of India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],3703.25,4380.22,3874.73,3370.71,3407.72,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],3703.25,4380.22,3874.73,3370.71,3407.72,
6,Total Operating Revenues,3703.25,4425.44,3925.86,3469.47,3447.35,
7,Other Income,125.56,242.95,218.23,148.00,145.23,
8,Total Revenue,3828.81,4668.39,4144.09,3617.47,3592.58,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,2558.25,2571.97,2223.04,2177.99,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,473.78,476.54,452.44,485.92,418.15,
14,Finance Costs,21.11,364.13,245.86,179.78,172.15,
15,Depreciation And Amortisation Expenses,627.94,671.27,658.46,610.25,566.07,
16,Other Expenses,2071.21,250.69,290.21,89.00,72.46,
17,Total Expenses,3194.04,4320.88,4218.94,3587.99,3406.82,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",634.77,347.51,-74.85,29.48,185.76,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,634.77,347.51,-74.85,29.48,185.76,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,16.67,48.50,70.90,60.00,61.05,
23,Less: MAT Credit Entitlement,0.00,-11.34,11.34,0.00,11.32,
24,Deferred Tax,0.00,-16.22,-12.42,-284.27,-6.25,
25,Tax For Earlier Years,0.00,1.54,0.00,0.00,0.00,
26,Total Tax Expenses,16.67,45.16,47.14,-224.27,43.48,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,618.10,302.35,-121.99,253.75,142.28,
28,Profit/Loss From Continuing Operations,618.10,302.35,-121.99,253.75,142.28,
29,Profit/Loss For The Period,618.10,302.35,-121.99,253.75,142.28,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),13.27,6.49,-2.62,5.45,3.05,
33,Diluted EPS (Rs.),13.27,6.49,-2.62,5.45,3.05,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),3.00,8.00,0.00,0.00,0.00,
