,0,1,2,3,4,5,6
0,Profit & Loss account of Shriram City Union Finance (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],5883.94,5778.78,5156.73,4384.29,3776.20,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],5883.94,5778.78,5156.73,4384.29,3776.20,
6,Total Operating Revenues,5883.94,5778.78,5156.73,4431.62,3834.87,
7,Other Income,3.35,2.52,1.74,2.91,21.16,
8,Total Revenue,5887.29,5781.30,5158.47,4434.53,3856.02,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,130.27,154.81,140.14,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,847.67,837.91,706.31,550.29,513.23,
14,Finance Costs,2140.21,1986.19,1664.13,1534.42,1383.45,
15,Depreciation And Amortisation Expenses,82.16,31.20,33.26,34.62,36.92,
16,Other Expenses,448.27,468.81,503.00,551.03,499.24,
17,Total Expenses,4532.29,4260.98,4070.00,3580.89,3049.18,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1355.00,1520.32,1088.47,853.64,806.84,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,1355.00,1520.32,1088.47,853.64,806.84,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,342.40,496.37,381.30,304.60,283.32,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-1.17,35.07,-3.77,-7.02,-6.26,
25,Tax For Earlier Years,13.24,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,354.48,531.44,377.53,297.58,277.06,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1000.52,988.88,710.94,556.06,529.78,
28,Profit/Loss From Continuing Operations,1000.52,988.88,710.94,556.06,529.78,
29,Profit/Loss For The Period,1000.52,988.88,710.94,556.06,529.78,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),151.60,149.88,107.80,84.34,80.37,
33,Diluted EPS (Rs.),151.57,149.83,107.72,84.24,80.27,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,145.19,118.75,105.52,32.97,98.89,
42,Tax On Dividend,29.84,24.41,21.48,6.35,20.49,
43,Equity Dividend Rate (%),60.00,220.00,180.00,150.00,150.00,
