,0,1,2,3,4,5,6
0,Profit & Loss account of SKF India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2670.73,2795.86,2995.97,2768.62,2804.72,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,54.41,204.13,
5,Revenue From Operations [Net],2670.73,2795.86,2995.97,2714.21,2600.59,
6,Total Operating Revenues,2670.73,2841.58,3034.53,2750.41,2631.41,
7,Other Income,36.23,103.92,92.38,71.36,87.33,
8,Total Revenue,2706.96,2945.50,3126.91,2821.77,2718.74,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,594.81,602.80,734.27,656.39,603.28,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",10.04,-15.50,-43.72,27.05,-67.31,
13,Employee Benefit Expenses,246.31,239.66,258.28,236.79,222.18,
14,Finance Costs,1.81,9.48,7.66,4.97,0.00,
15,Depreciation And Amortisation Expenses,57.95,57.12,46.39,45.74,47.88,
16,Other Expenses,443.36,461.95,513.93,471.95,447.84,
17,Total Expenses,2310.66,2558.73,2602.72,2366.28,2343.14,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",396.30,386.77,524.19,455.49,375.60,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,396.30,386.77,524.19,455.49,375.60,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,98.55,90.15,192.31,166.72,133.86,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,9.01,-4.98,-6.78,-1.82,
25,Tax For Earlier Years,0.00,-1.38,1.09,-0.34,-0.33,
26,Total Tax Expenses,98.55,97.78,188.42,159.60,131.71,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,297.75,288.99,335.77,295.89,243.89,
28,Profit/Loss From Continuing Operations,297.75,288.99,335.77,295.89,243.89,
29,Profit/Loss For The Period,297.75,288.99,335.77,295.89,243.89,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),60.20,58.50,65.70,57.30,46.30,
33,Diluted EPS (Rs.),60.20,58.50,65.70,57.30,46.30,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,59.33,61.61,51.34,79.10,
42,Tax On Dividend,0.00,12.19,12.66,10.45,16.10,
43,Equity Dividend Rate (%),145.00,1300.00,120.00,120.00,100.00,
