,0,1,2,3,4,5,6
0,Profit & Loss account of Sonata Software (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],781.40,875.57,828.19,687.86,590.88,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],781.40,875.57,828.19,687.86,590.88,
6,Total Operating Revenues,781.40,876.84,829.33,688.51,592.60,
7,Other Income,44.80,97.13,17.68,41.96,32.34,
8,Total Revenue,826.20,973.97,847.01,730.47,624.94,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,413.34,467.06,404.66,364.12,307.17,
14,Finance Costs,9.72,10.90,0.08,0.17,3.99,
15,Depreciation And Amortisation Expenses,18.90,20.60,6.13,5.00,4.01,
16,Other Expenses,73.21,143.14,150.75,118.49,109.70,
17,Total Expenses,575.90,705.22,608.13,532.72,451.41,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",250.30,268.75,238.88,197.75,173.53,
19,Exceptional Items,0.00,0.00,0.49,0.49,5.65,
20,Profit/Loss Before Tax,250.30,268.75,239.37,198.24,179.18,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,71.27,60.01,72.10,49.58,45.90,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-2.52,-5.16,-2.62,-2.39,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,2.38,
26,Total Tax Expenses,71.27,57.49,66.94,46.96,45.89,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,179.03,211.26,172.43,151.28,133.29,
28,Profit/Loss From Continuing Operations,179.03,211.26,172.43,151.28,133.29,
29,Profit/Loss For The Period,179.03,211.26,172.43,151.28,133.29,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),17.23,20.33,16.59,14.57,12.85,
33,Diluted EPS (Rs.),0.00,20.33,16.58,14.56,12.85,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,293.51,119.40,95.97,35.70,
42,Tax On Dividend,0.00,49.75,24.70,18.58,6.81,
43,Equity Dividend Rate (%),1400.00,2025.00,1275.00,1050.00,900.00,
