,0,1,2,3,4,5,6
0,Profit & Loss account of Spandana Sphoorty Financial (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1409.49,1036.28,587.27,377.06,328.27,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],1409.49,1036.28,587.27,377.06,328.27,
6,Total Operating Revenues,1409.49,1036.28,587.27,377.06,343.86,
7,Other Income,31.93,5.43,0.23,1.60,128.84,
8,Total Revenue,1441.41,1041.71,587.50,378.67,472.70,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,166.97,129.99,75.87,58.05,57.09,
14,Finance Costs,354.11,356.47,231.79,149.39,129.44,
15,Depreciation And Amortisation Expenses,8.74,6.92,5.72,8.33,3.70,
16,Other Expenses,40.56,33.53,26.80,29.40,28.55,
17,Total Expenses,843.27,572.33,304.78,343.57,229.47,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",598.14,469.38,282.72,35.10,243.24,
19,Exceptional Items,0.00,0.00,0.00,10.49,0.00,
20,Profit/Loss Before Tax,598.14,469.38,282.72,45.59,243.24,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,65.35,0.35,57.34,23.58,0.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,196.09,160.29,37.41,-421.41,0.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,261.45,160.63,94.75,-397.83,0.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,336.69,308.75,187.97,443.41,243.24,
28,Profit/Loss From Continuing Operations,336.69,308.75,187.97,443.41,243.24,
29,Profit/Loss For The Period,336.69,308.75,187.97,443.41,243.24,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),53.85,52.92,42.52,213.55,119.34,
33,Diluted EPS (Rs.),53.40,52.81,42.51,5.39,2.94,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
