,0,1,2,3,4,5,6
0,Profit & Loss account of Sterlite Technologies (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],4142.01,4685.07,4771.62,2825.57,2359.05,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,28.46,144.80,
5,Revenue From Operations [Net],4142.01,4685.07,4771.62,2797.11,2214.25,
6,Total Operating Revenues,4142.01,4760.50,4862.63,2865.11,2255.85,
7,Other Income,57.67,32.94,34.84,22.19,10.90,
8,Total Revenue,4199.68,4793.44,4897.47,2887.30,2266.75,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2114.94,2273.96,2583.40,1131.10,1006.09,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-30.11,65.43,-110.47,16.68,-102.27,
13,Employee Benefit Expenses,491.97,519.82,439.55,316.10,271.11,
14,Finance Costs,189.71,204.46,95.25,87.84,104.62,
15,Depreciation And Amortisation Expenses,215.10,232.42,167.79,170.14,145.17,
16,Other Expenses,851.31,902.31,880.05,765.21,619.08,
17,Total Expenses,3833.99,4200.52,4086.15,2520.06,2084.48,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",365.69,592.92,811.32,367.24,182.27,
19,Exceptional Items,0.00,-50.71,0.00,0.00,0.00,
20,Profit/Loss Before Tax,365.69,542.21,811.32,367.24,182.27,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,104.28,111.53,270.99,113.68,54.77,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-2.84,5.10,-1.12,-28.43,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,104.28,108.69,276.09,112.56,26.34,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,261.41,433.52,535.23,254.68,155.93,
28,Profit/Loss From Continuing Operations,261.41,433.52,535.23,254.68,155.93,
29,Profit/Loss For The Period,261.41,433.52,535.23,254.68,155.93,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),6.57,10.75,13.32,6.38,3.93,
33,Diluted EPS (Rs.),6.50,10.63,13.16,6.28,3.87,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,170.09,96.80,36.07,71.76,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),100.00,175.00,175.00,100.00,63.00,
