,0,1,2,3,4,5,6
0,Profit & Loss account of Sundaram Finance (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],3842.09,3397.61,2806.27,2356.79,2312.44,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],3842.09,3397.61,2806.27,2356.79,2312.44,
6,Total Operating Revenues,3842.09,3397.61,2806.27,2356.79,2312.44,
7,Other Income,84.85,20.56,49.13,101.49,162.58,
8,Total Revenue,3926.94,3418.17,2855.40,2458.29,2475.02,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,358.62,322.43,278.26,234.63,212.59,
14,Finance Costs,2072.03,1762.51,1346.02,1164.52,1217.74,
15,Depreciation And Amortisation Expenses,72.98,53.97,63.62,82.02,84.20,
16,Other Expenses,191.79,276.66,232.27,195.43,196.20,
17,Total Expenses,2981.82,2522.89,2005.69,1738.08,1791.79,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",945.12,895.28,849.71,720.21,683.23,
19,Exceptional Items,0.00,592.43,0.00,0.00,0.00,
20,Profit/Loss Before Tax,945.12,1487.71,849.71,720.21,683.23,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,258.42,391.46,274.21,220.20,216.72,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-37.25,-30.06,12.07,4.66,-10.77,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,221.17,361.40,286.28,224.85,205.96,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,723.95,1126.31,563.44,495.35,477.28,
28,Profit/Loss From Continuing Operations,723.95,1126.31,563.44,495.35,477.28,
29,Profit/Loss For The Period,723.95,1126.31,563.44,495.35,477.28,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),65.16,101.37,50.71,44.58,42.96,
33,Diluted EPS (Rs.),65.16,101.37,50.71,44.58,42.96,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,293.23,222.18,81.60,55.55,122.21,
42,Tax On Dividend,0.00,0.00,0.00,8.77,22.62,
43,Equity Dividend Rate (%),130.00,175.00,120.00,115.00,110.00,
