,0,1,2,3,4,5,6
0,Profit & Loss account of Sundram Fasteners (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2976.89,3018.50,3840.72,3344.41,3101.78,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,52.93,224.27,
5,Revenue From Operations [Net],2976.89,3018.50,3840.72,3291.48,2877.51,
6,Total Operating Revenues,3065.03,3124.57,3990.22,3396.11,2947.27,
7,Other Income,16.57,20.44,29.67,29.62,12.92,
8,Total Revenue,3081.60,3145.01,4019.89,3425.73,2960.19,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1267.70,1244.79,1740.75,1382.68,1164.81,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-23.91,49.88,-88.19,-15.95,-20.67,
13,Employee Benefit Expenses,271.44,302.47,352.54,328.27,296.40,
14,Finance Costs,14.16,43.86,38.96,32.56,36.32,
15,Depreciation And Amortisation Expenses,146.58,136.51,110.30,98.07,89.77,
16,Other Expenses,967.52,979.80,1245.84,1080.37,966.59,
17,Total Expenses,2643.49,2757.31,3400.20,2906.00,2533.22,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",438.11,387.70,619.69,519.73,426.97,
19,Exceptional Items,0.00,-11.30,0.00,0.00,-2.37,
20,Profit/Loss Before Tax,438.11,376.40,619.69,519.73,424.60,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,109.97,93.96,159.74,134.32,101.36,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-31.60,23.76,17.94,7.76,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,109.97,62.36,183.50,152.26,109.12,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,328.14,314.04,436.19,367.47,315.48,
28,Profit/Loss From Continuing Operations,328.14,314.04,436.19,367.47,315.48,
29,Profit/Loss For The Period,328.14,314.04,436.19,367.47,315.48,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),15.62,14.95,20.76,17.49,15.01,
33,Diluted EPS (Rs.),15.62,14.95,20.76,17.49,15.01,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,152.34,98.76,98.76,35.72,
42,Tax On Dividend,0.00,29.79,20.64,18.17,7.22,
43,Equity Dividend Rate (%),470.00,415.00,510.00,460.00,450.00,
