,0,1,2,3,4,5,6
0,Profit & Loss account of Sunteck Realty (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],283.80,77.55,64.97,49.25,30.30,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],283.80,77.55,64.97,49.25,30.30,
6,Total Operating Revenues,293.52,237.93,175.73,197.24,163.45,
7,Other Income,39.10,61.08,22.62,18.44,4.08,
8,Total Revenue,332.62,299.01,198.35,215.68,167.53,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,160.78,49.97,36.34,21.05,7.32,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,8.53,8.24,7.64,7.05,6.04,
14,Finance Costs,32.02,34.42,14.31,13.72,5.70,
15,Depreciation And Amortisation Expenses,2.44,1.66,0.92,0.94,0.64,
16,Other Expenses,25.13,17.63,9.16,13.37,5.57,
17,Total Expenses,228.89,111.93,68.37,56.13,25.27,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",103.72,187.09,129.98,159.55,142.26,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,103.72,187.09,129.98,159.55,142.26,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,12.21,2.02,2.38,0.36,2.22,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-12.06,0.52,4.06,0.84,0.08,
25,Tax For Earlier Years,0.04,0.00,-0.05,0.00,-0.09,
26,Total Tax Expenses,0.20,2.54,6.39,1.20,2.21,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,103.52,184.55,123.59,158.35,140.06,
28,Profit/Loss From Continuing Operations,103.52,184.55,123.59,158.35,140.06,
29,Profit/Loss For The Period,103.52,184.55,123.59,158.35,140.06,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),7.07,12.61,9.23,12.57,22.24,
33,Diluted EPS (Rs.),7.06,12.60,9.22,12.57,22.24,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,21.95,21.95,18.90,12.59,12.59,
42,Tax On Dividend,0.00,0.00,2.40,1.27,2.56,
43,Equity Dividend Rate (%),150.00,150.00,150.00,150.00,100.00,
