,0,1,2,3,4,5,6
0,Profit & Loss account of Suzlon Energy (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],300.29,2471.08,6142.62,9229.21,5930.64,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],300.29,2471.08,6142.62,9229.21,5930.64,
6,Total Operating Revenues,375.95,2543.50,6166.48,9245.68,5939.36,
7,Other Income,236.18,435.98,369.16,400.97,0.00,
8,Total Revenue,612.13,2979.48,6535.64,9646.65,5939.36,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,273.06,1517.92,2745.10,5873.44,3661.65,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",108.31,196.00,385.30,-823.57,37.97,
13,Employee Benefit Expenses,271.48,326.54,278.48,415.19,222.14,
14,Finance Costs,1140.57,943.65,1222.84,930.71,186.27,
15,Depreciation And Amortisation Expenses,682.15,438.91,419.28,413.99,165.49,
16,Other Expenses,620.49,681.25,1105.43,1453.47,1133.05,
17,Total Expenses,3096.06,4110.08,7144.38,8755.22,5437.23,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-2483.93,-1130.60,-608.74,891.43,502.13,
19,Exceptional Items,-792.05,-6281.38,-546.00,-535.78,-455.31,
20,Profit/Loss Before Tax,-3275.98,-7411.98,-1154.74,355.65,46.82,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.65,1.35,1.40,-0.05,0.07,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,0.00,0.00,0.00,0.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,0.65,1.35,1.40,-0.05,0.07,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-3276.63,-7413.33,-1156.14,355.70,46.75,
28,Profit/Loss From Continuing Operations,-3276.63,-7413.33,-1156.14,355.70,46.75,
29,Profit/Loss For The Period,-3276.63,-7413.33,-1156.14,355.70,46.75,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-6.16,-13.94,-2.20,0.71,0.10,
33,Diluted EPS (Rs.),-6.16,-13.94,-2.20,0.71,0.10,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,1895.73,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,1765.92,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,10.24,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,25.37,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
