,0,1,2,3,4
0,Profit & Loss account of Sterling & Wilson Solar (in Rs. Cr.),Mar 20,Mar 19,Mar 18,
1,,12 mths,12 mths,13 mths,
2,INCOME,,,,
3,Revenue From Operations [Gross],4535.06,8210.25,6125.86,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,
5,Revenue From Operations [Net],4535.06,8210.25,6125.86,
6,Total Operating Revenues,4535.10,8210.38,6125.98,
7,Other Income,365.23,155.47,25.20,
8,Total Revenue,4900.33,8365.85,6151.18,
9,EXPENSES,,,,
10,Cost Of Materials Consumed,2718.91,6013.95,4548.62,
11,Operating And Direct Expenses,920.88,1526.29,558.70,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,1.27,11.90,
13,Employee Benefit Expenses,138.37,141.32,106.22,
14,Finance Costs,146.18,56.18,10.62,
15,Depreciation And Amortisation Expenses,6.32,3.18,2.40,
16,Other Expenses,136.25,138.00,106.86,
17,Total Expenses,4475.90,8061.75,5948.84,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",424.43,304.09,202.34,
19,Exceptional Items,0.00,0.00,0.00,
20,Profit/Loss Before Tax,424.43,304.09,202.34,
21,Tax Expenses-Continued Operations,,,,
22,Current Tax,109.96,125.61,76.74,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,
24,Deferred Tax,3.32,-20.49,-6.39,
25,Tax For Earlier Years,-0.28,2.82,0.00,
26,Total Tax Expenses,112.99,107.95,70.35,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,311.44,196.15,131.98,
28,Profit/Loss From Continuing Operations,311.44,196.15,131.98,
29,Profit/Loss For The Period,311.44,196.15,131.98,
30,OTHER ADDITIONAL INFORMATION,,,,
31,EARNINGS PER SHARE,,,,
32,Basic EPS (Rs.),19.42,12.23,8.75,
33,Diluted EPS (Rs.),19.42,12.23,8.75,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,
35,Imported Raw Materials,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,
38,Imported Stores And Spares,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,
41,Equity Share Dividend,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,
43,Equity Dividend Rate (%),600.00,0.00,0.00,
