,0,1,2,3,4,5,6
0,Profit & Loss account of Syngene International (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2179.40,1879.70,1715.60,1324.50,1169.50,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],2179.40,1879.70,1715.60,1324.50,1169.50,
6,Total Operating Revenues,2179.40,2011.90,1825.60,1423.10,1200.90,
7,Other Income,64.60,81.60,75.10,61.80,70.70,
8,Total Revenue,2244.00,2093.50,1900.70,1484.90,1271.60,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,551.70,518.60,505.30,395.20,321.20,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-25.20,0.80,26.00,-13.50,0.60,
13,Employee Benefit Expenses,641.50,572.20,465.40,376.90,308.60,
14,Finance Costs,27.70,34.60,32.30,22.70,17.50,
15,Depreciation And Amortisation Expenses,274.50,219.30,164.20,131.40,114.30,
16,Other Expenses,341.40,303.60,293.30,200.10,162.90,
17,Total Expenses,1811.60,1649.10,1486.50,1112.80,925.10,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",432.40,444.40,414.20,372.10,346.50,
19,Exceptional Items,35.00,71.30,0.00,0.00,0.00,
20,Profit/Loss Before Tax,467.40,515.70,414.20,372.10,346.50,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,63.70,89.30,86.40,79.30,71.00,
23,Less: MAT Credit Entitlement,0.00,38.10,4.40,18.20,21.90,
24,Deferred Tax,0.00,53.00,1.50,5.90,10.10,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,63.70,104.20,83.50,67.00,59.20,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,403.70,411.50,330.70,305.10,287.30,
28,Profit/Loss From Continuing Operations,403.70,411.50,330.70,305.10,287.30,
29,Profit/Loss For The Period,403.70,411.50,330.70,305.10,287.30,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),10.15,10.36,16.72,15.46,14.71,
33,Diluted EPS (Rs.),10.08,10.33,16.67,15.41,14.55,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,24.10,24.10,24.10,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,5.00,10.00,10.00,
