,0,1,2,3,4,5,6
0,Profit & Loss account of TATA Consumer Products (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],7154.36,5607.53,3331.71,3131.68,2987.39,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],7154.36,5607.53,3331.71,3131.68,2987.39,
6,Total Operating Revenues,7154.36,5690.24,3429.66,3217.32,3063.89,
7,Other Income,133.01,117.75,182.51,147.58,96.34,
8,Total Revenue,7287.37,5807.99,3612.17,3364.90,3160.23,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,3421.65,2305.02,2055.97,1871.55,1867.72,
11,Operating And Direct Expenses,0.00,84.25,75.81,69.45,72.61,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-116.90,44.36,0.16,-1.67,-1.79,
13,Employee Benefit Expenses,321.58,283.44,216.85,208.13,187.82,
14,Finance Costs,28.13,25.73,13.18,13.65,49.10,
15,Depreciation And Amortisation Expenses,126.21,114.82,31.68,27.20,23.70,
16,Other Expenses,1183.83,1045.29,618.95,535.48,551.85,
17,Total Expenses,6390.13,5026.77,3036.25,2756.79,2774.04,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",897.24,781.22,575.92,608.11,386.19,
19,Exceptional Items,-61.10,-51.81,0.00,115.36,0.00,
20,Profit/Loss Before Tax,836.14,729.41,575.92,723.47,386.19,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,216.63,-0.61,160.57,188.91,110.24,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,206.48,4.42,0.24,-0.05,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,216.63,205.87,164.99,189.15,110.19,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,619.51,523.54,410.93,534.32,276.00,
28,Profit/Loss From Continuing Operations,619.51,523.54,410.93,534.32,276.00,
29,Profit/Loss For The Period,619.51,523.54,410.93,534.32,276.00,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),6.72,5.68,6.51,8.47,4.37,
33,Diluted EPS (Rs.),6.72,5.68,6.51,8.47,4.37,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,157.78,157.78,157.77,168.31,
42,Tax On Dividend,0.00,28.27,24.67,11.88,0.00,
43,Equity Dividend Rate (%),405.00,270.00,250.00,250.00,235.00,
