,0,1,2,3,4,5,6
0,Profit & Loss account of Tata Investment Corporation (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],149.47,181.74,160.87,271.27,251.92,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],149.47,181.74,160.87,271.27,251.92,
6,Total Operating Revenues,149.47,181.74,160.87,271.27,251.92,
7,Other Income,0.09,0.10,0.10,0.10,0.16,
8,Total Revenue,149.56,181.84,160.97,271.37,252.07,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,10.76,11.95,10.48,10.93,10.36,
14,Finance Costs,0.14,0.00,0.00,0.00,0.00,
15,Depreciation And Amortisation Expenses,0.75,0.09,0.11,0.11,0.11,
16,Other Expenses,8.71,9.17,8.39,20.26,7.38,
17,Total Expenses,20.35,21.22,18.98,31.29,17.85,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",129.21,160.63,141.98,240.08,234.22,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,129.21,160.63,141.98,240.08,234.22,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,15.22,13.51,14.63,37.70,31.61,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-3.35,-0.53,0.71,0.00,0.00,
25,Tax For Earlier Years,-1.29,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,10.57,12.98,15.34,37.70,31.61,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,118.64,147.65,126.64,202.38,202.61,
28,Profit/Loss From Continuing Operations,118.64,147.65,126.64,202.38,202.61,
29,Profit/Loss For The Period,118.64,147.65,126.64,202.38,202.61,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),23.45,27.02,22.99,36.73,36.77,
33,Diluted EPS (Rs.),23.45,27.02,22.99,36.73,36.77,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,101.19,110.19,99.17,0.00,93.66,
42,Tax On Dividend,20.80,22.65,20.19,0.00,19.07,
43,Equity Dividend Rate (%),180.00,200.00,200.00,180.00,170.00,
