,0,1,2,3,4,5,6
0,Profit & Loss account of Tata Consultancy Services (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],135963.00,131306.00,123170.00,97356.00,92693.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],135963.00,131306.00,123170.00,97356.00,92693.00,
6,Total Operating Revenues,135963.00,131306.00,123170.00,97356.00,92693.00,
7,Other Income,5400.00,8082.00,7627.00,5803.00,4568.00,
8,Total Revenue,141363.00,139388.00,130797.00,103159.00,97261.00,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,86.00,94.00,
11,Operating And Direct Expenses,0.00,1596.00,2003.00,1920.00,1664.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,69046.00,64906.00,59377.00,51499.00,48116.00,
14,Finance Costs,537.00,743.00,170.00,30.00,16.00,
15,Depreciation And Amortisation Expenses,3053.00,2701.00,1716.00,1647.00,1575.00,
16,Other Expenses,26607.00,27451.00,26826.00,16046.00,15730.00,
17,Total Expenses,99243.00,97397.00,90092.00,71228.00,67195.00,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",42120.00,41991.00,40705.00,31931.00,30066.00,
19,Exceptional Items,-1218.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,40902.00,41991.00,40705.00,31931.00,30066.00,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,9942.00,9012.00,9943.00,6878.00,6643.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-281.00,697.00,-188.00,-230.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,9942.00,8731.00,10640.00,6690.00,6413.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,30960.00,33260.00,30065.00,25241.00,23653.00,
28,Profit/Loss From Continuing Operations,30960.00,33260.00,30065.00,25241.00,23653.00,
29,Profit/Loss For The Period,30960.00,33260.00,30065.00,25241.00,23653.00,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),82.78,88.64,79.34,131.15,120.04,
33,Diluted EPS (Rs.),82.78,88.64,79.34,131.15,120.04,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,37634.00,10085.00,9284.00,9162.00,
42,Tax On Dividend,0.00,0.00,1339.00,1442.00,1785.00,
43,Equity Dividend Rate (%),3800.00,7300.00,3000.00,5000.00,4700.00,
