,0,1,2,3,4,5,6
0,Profit & Loss account of Tech Mahindra (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],29640.90,29225.40,27219.60,23661.20,23165.40,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],29640.90,29225.40,27219.60,23661.20,23165.40,
6,Total Operating Revenues,29640.90,29225.40,27219.60,23661.20,23165.40,
7,Other Income,921.80,2366.20,960.10,1730.70,892.90,
8,Total Revenue,30562.70,31591.60,28179.70,25391.90,24058.30,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,11607.40,10257.00,9012.90,8756.90,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,9162.60,9282.70,8444.00,8106.50,7744.40,
14,Finance Costs,63.20,66.70,43.10,70.80,63.80,
15,Depreciation And Amortisation Expenses,662.30,667.40,658.70,656.20,622.20,
16,Other Expenses,15148.00,4635.20,3349.60,2639.00,2992.30,
17,Total Expenses,25036.10,26259.40,22752.40,20485.40,20179.60,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",5526.60,5332.20,5427.30,4906.50,3878.70,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,5526.60,5332.20,5427.30,4906.50,3878.70,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,1287.50,881.30,1065.20,931.60,723.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-83.60,-18.30,-24.40,108.40,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,1287.50,797.70,1046.90,907.20,831.40,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,4239.10,4534.50,4380.40,3999.30,3047.30,
28,Profit/Loss From Continuing Operations,4239.10,4534.50,4380.40,3999.30,3047.30,
29,Profit/Loss For The Period,4239.10,4534.50,4380.40,3999.30,3047.30,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),43.76,46.89,44.58,40.84,31.37,
33,Diluted EPS (Rs.),43.41,46.56,43.93,40.53,30.94,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,2752.20,1376.70,1036.10,1378.70,
42,Tax On Dividend,0.00,0.00,264.40,0.00,0.00,
43,Equity Dividend Rate (%),900.00,300.00,280.00,280.00,180.00,
