,0,1,2,3,4,5,6
0,Profit & Loss account of Tube Investments of India Ltd (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],4052.67,4983.05,4409.98,4207.77,0.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,83.38,307.32,0.00,
5,Revenue From Operations [Net],4052.67,4983.05,4326.60,3900.45,0.00,
6,Total Operating Revenues,4276.09,5285.73,4598.21,4108.57,0.00,
7,Other Income,64.77,66.52,28.04,31.06,0.00,
8,Total Revenue,4340.86,5352.25,4626.25,4139.63,0.00,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2295.72,3195.38,2698.32,2473.84,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",125.20,-26.41,0.05,-107.94,0.00,
13,Employee Benefit Expenses,450.35,439.09,432.91,398.63,0.00,
14,Finance Costs,28.79,51.68,56.38,72.05,0.00,
15,Depreciation And Amortisation Expenses,160.71,140.20,128.30,121.25,0.00,
16,Other Expenses,778.98,993.76,952.80,846.83,0.00,
17,Total Expenses,3920.14,4981.17,4408.31,3938.13,0.00,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",420.72,371.08,217.94,201.50,0.00,
19,Exceptional Items,-2.86,-9.00,-25.25,0.00,0.00,
20,Profit/Loss Before Tax,417.86,362.08,192.69,201.50,0.00,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,115.23,116.29,74.16,58.25,0.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-22.44,4.94,-10.25,1.24,0.00,
25,Tax For Earlier Years,-5.48,-2.66,-7.68,-16.94,0.00,
26,Total Tax Expenses,87.31,118.57,56.23,42.55,0.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,330.55,243.51,136.46,158.95,0.00,
28,Profit/Loss From Continuing Operations,330.55,243.51,136.46,158.95,0.00,
29,Profit/Loss For The Period,330.55,243.51,136.46,158.95,0.00,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),17.60,13.02,7.28,8.48,0.00,
33,Diluted EPS (Rs.),17.57,13.01,7.27,8.48,0.00,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,79.82,42.23,60.94,0.00,0.00,
42,Tax On Dividend,12.60,2.79,10.36,0.00,0.00,
43,Equity Dividend Rate (%),350.00,250.00,175.00,100.00,0.00,
