,0,1,2,3,4,5,6
0,Profit & Loss account of Time Technoplast (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1725.46,2489.85,2462.05,2108.64,1596.14,
4,Less: Excise/Sevice Tax/Other Levies,0.00,348.94,345.42,300.95,0.00,
5,Revenue From Operations [Net],1725.46,2140.91,2116.64,1807.69,1596.14,
6,Total Operating Revenues,1725.46,2140.91,2116.64,1807.69,1596.14,
7,Other Income,2.21,2.05,2.13,2.15,1.57,
8,Total Revenue,1727.67,2142.96,2118.76,1809.84,1597.71,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1255.38,1576.15,1544.82,1302.83,1155.31,
11,Operating And Direct Expenses,0.00,109.38,101.23,87.10,75.69,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",3.86,-13.06,-19.96,-13.90,-12.21,
13,Employee Benefit Expenses,86.10,89.70,82.28,71.71,63.33,
14,Finance Costs,56.25,63.41,59.57,54.22,55.95,
15,Depreciation And Amortisation Expenses,93.02,94.72,90.10,85.20,66.37,
16,Other Expenses,163.60,87.22,87.87,69.09,66.33,
17,Total Expenses,1658.21,2007.51,1945.91,1656.25,1470.77,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",69.46,135.45,172.86,153.58,126.94,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,69.46,135.45,172.86,153.58,126.94,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,18.22,27.98,36.48,31.65,25.55,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,9.75,10.15,8.64,6.50,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,18.22,37.72,46.63,40.29,32.05,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,51.24,97.73,126.23,113.29,94.90,
28,Profit/Loss From Continuing Operations,51.24,97.73,126.23,113.29,94.90,
29,Profit/Loss For The Period,51.24,97.73,126.23,113.29,94.90,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),2.27,4.32,5.58,5.01,4.45,
33,Diluted EPS (Rs.),2.26,4.32,5.58,5.01,4.45,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,20.35,18.09,14.70,11.56,
42,Tax On Dividend,0.00,3.76,3.27,2.64,2.05,
43,Equity Dividend Rate (%),70.00,95.00,90.00,80.00,65.00,
