,0,1,2,3,4,5,6
0,Profit & Loss account of Timken India (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1599.83,1646.32,1234.47,1103.87,1095.62,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,17.76,61.04,59.93,
5,Revenue From Operations [Net],1599.83,1646.32,1216.70,1042.83,1035.70,
6,Total Operating Revenues,1617.75,1664.43,1234.01,1056.18,1049.74,
7,Other Income,22.72,16.27,20.84,9.92,5.82,
8,Total Revenue,1640.47,1680.70,1254.85,1066.10,1055.55,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,463.58,708.36,549.04,334.75,375.09,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",23.74,-50.88,-53.18,6.86,-21.71,
13,Employee Benefit Expenses,123.79,122.69,90.50,73.72,68.18,
14,Finance Costs,2.75,1.76,1.22,0.84,0.92,
15,Depreciation And Amortisation Expenses,76.86,79.33,43.14,28.89,22.47,
16,Other Expenses,271.24,324.49,251.96,200.52,188.97,
17,Total Expenses,1334.12,1456.88,1115.10,927.92,910.90,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",306.36,223.82,139.75,138.18,144.65,
19,Exceptional Items,0.00,0.00,0.00,0.00,-3.01,
20,Profit/Loss Before Tax,306.36,223.82,139.75,138.18,141.64,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,81.35,92.81,42.35,40.76,49.21,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-21.09,-17.63,5.41,0.22,0.62,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,60.26,75.18,47.76,40.98,49.83,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,246.10,148.64,91.99,97.20,91.81,
28,Profit/Loss From Continuing Operations,246.10,148.64,91.99,97.20,91.81,
29,Profit/Loss For The Period,246.10,148.64,91.99,97.20,91.81,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),32.72,19.92,13.53,14.30,13.50,
33,Diluted EPS (Rs.),32.72,19.92,13.53,14.30,13.50,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,7.52,7.52,6.80,6.80,0.00,
42,Tax On Dividend,1.55,1.55,1.42,1.42,0.00,
43,Equity Dividend Rate (%),500.00,10.00,10.00,10.00,10.00,
