,0,1,2,3,4,5,6
0,Profit & Loss account of Torrent Pharmaceuticals (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],6333.00,6025.93,5556.72,4141.90,4461.66,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],6333.00,6025.93,5556.72,4141.90,4461.66,
6,Total Operating Revenues,6451.00,6168.44,5762.48,4248.24,4592.68,
7,Other Income,118.00,236.93,381.96,332.31,299.60,
8,Total Revenue,6569.00,6405.37,6144.44,4580.55,4892.28,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1421.00,1352.96,1206.95,995.25,1176.40,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-150.00,-56.83,-4.97,-232.35,-10.95,
13,Employee Benefit Expenses,1097.00,1061.76,1014.06,826.07,699.04,
14,Finance Costs,339.00,430.49,480.97,293.68,202.38,
15,Depreciation And Amortisation Expenses,610.00,606.66,578.90,383.88,269.36,
16,Other Expenses,1487.00,1552.24,1590.65,1399.10,1380.05,
17,Total Expenses,5203.00,5288.60,5209.32,4018.42,3937.27,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1366.00,1116.77,935.12,562.13,955.01,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,1366.00,1116.77,935.12,562.13,955.01,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,228.00,192.13,193.75,121.15,222.08,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-13.87,-4.05,-41.06,-121.29,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,228.00,178.26,189.70,80.09,100.79,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1138.00,938.51,745.42,482.04,854.22,
28,Profit/Loss From Continuing Operations,1138.00,938.51,745.42,482.04,854.22,
29,Profit/Loss For The Period,1138.00,938.51,745.42,482.04,854.22,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),67.24,55.46,44.05,28.48,50.48,
33,Diluted EPS (Rs.),67.24,55.46,44.05,28.48,50.48,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,609.20,304.61,219.99,169.22,
42,Tax On Dividend,0.00,109.30,5.08,44.78,34.45,
43,Equity Dividend Rate (%),700.00,640.00,340.00,280.00,280.00,
