,0,1,2,3,4,5,6
0,Profit & Loss account of Torrent Power (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],11776.52,13275.36,12783.52,11170.77,9759.79,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],11776.52,13275.36,12783.52,11170.77,9759.79,
6,Total Operating Revenues,11776.52,13442.04,12977.52,11448.86,9961.12,
7,Other Income,250.28,245.09,261.55,267.92,192.31,
8,Total Revenue,12026.80,13687.13,13239.07,11716.78,10153.43,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,250.60,259.86,233.44,196.56,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,1.45,-19.58,1.25,-4.30,
13,Employee Benefit Expenses,521.76,528.49,484.21,465.32,415.72,
14,Finance Costs,718.96,891.86,892.15,839.69,1046.56,
15,Depreciation And Amortisation Expenses,1179.85,1230.16,1163.05,1111.14,989.42,
16,Other Expenses,7974.75,1225.04,845.60,868.27,765.15,
17,Total Expenses,10443.56,12141.23,11990.71,10341.25,9569.49,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1583.24,1545.90,1248.36,1375.53,583.94,
19,Exceptional Items,0.00,-1000.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,1583.24,545.90,1248.36,1375.53,583.94,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,258.33,305.94,269.26,303.60,121.95,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-998.18,89.86,150.19,29.63,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,258.33,-692.24,359.12,453.79,151.58,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,1324.91,1238.14,889.24,921.74,432.36,
28,Profit/Loss From Continuing Operations,1324.91,1238.14,889.24,921.74,432.36,
29,Profit/Loss For The Period,1324.91,1238.14,889.24,921.74,432.36,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),27.57,25.76,18.50,19.18,9.00,
33,Diluted EPS (Rs.),27.57,25.76,18.50,19.18,9.00,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,797.82,240.31,105.74,0.00,
42,Tax On Dividend,0.00,160.85,48.03,21.12,0.00,
43,Equity Dividend Rate (%),110.00,116.00,50.00,50.00,22.00,
