,0,1,2,3,4,5,6
0,Profit & Loss account of TV Today Network (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],782.98,856.37,739.00,688.76,614.80,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],782.98,856.37,739.00,688.76,614.80,
6,Total Operating Revenues,782.98,856.37,739.00,691.16,616.97,
7,Other Income,36.94,43.20,36.66,23.43,20.67,
8,Total Revenue,819.92,899.57,775.66,714.59,637.63,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.24,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,94.40,82.35,68.36,73.23,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,242.14,250.87,222.05,192.51,169.95,
14,Finance Costs,2.44,2.83,0.82,0.78,2.04,
15,Depreciation And Amortisation Expenses,40.13,38.50,31.51,31.28,28.99,
16,Other Expenses,341.66,293.20,236.29,219.96,208.62,
17,Total Expenses,626.61,679.79,573.02,512.89,482.82,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",193.31,219.78,202.64,201.71,154.81,
19,Exceptional Items,0.00,0.00,0.00,-13.78,8.56,
20,Profit/Loss Before Tax,193.31,219.78,202.64,187.92,163.37,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,62.14,70.92,75.49,63.53,53.83,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,6.69,-2.89,0.92,0.30,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,62.14,77.61,72.60,64.45,54.14,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,131.17,142.16,130.04,123.47,109.23,
28,Profit/Loss From Continuing Operations,131.17,142.16,130.04,123.47,109.23,
29,Profit/Loss For The Period,131.17,142.16,130.04,123.47,109.23,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),21.98,23.83,21.80,20.70,18.31,
33,Diluted EPS (Rs.),21.98,23.83,21.80,20.70,18.31,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,132.75,13.42,11.93,10.44,
42,Tax On Dividend,0.00,27.29,2.76,2.43,2.13,
43,Equity Dividend Rate (%),50.00,445.00,45.00,45.00,40.00,
