,0,1,2,3,4,5,6
0,Profit & Loss account of Uflex (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],3953.87,4099.42,3761.88,3780.81,3702.92,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,-2.05,0.50,326.85,
5,Revenue From Operations [Net],3953.87,4099.42,3763.93,3780.31,3376.07,
6,Total Operating Revenues,4069.71,4220.97,3875.80,3886.98,3487.45,
7,Other Income,82.65,21.55,16.35,17.11,38.22,
8,Total Revenue,4152.36,4242.52,3892.15,3904.09,3525.67,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2482.62,2700.53,2370.69,2114.11,2017.76,
11,Operating And Direct Expenses,400.30,397.32,447.91,690.67,325.01,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-81.39,0.63,-15.75,-23.06,-1.37,
13,Employee Benefit Expenses,461.93,424.50,390.43,351.38,313.12,
14,Finance Costs,172.89,167.94,144.22,118.78,108.97,
15,Depreciation And Amortisation Expenses,261.36,239.93,221.28,187.68,166.99,
16,Other Expenses,274.25,256.63,244.01,269.02,258.85,
17,Total Expenses,3970.19,4169.82,3781.50,3700.14,3292.67,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",182.17,72.70,110.65,203.95,233.00,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,182.17,72.70,110.65,203.95,233.00,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,39.02,15.14,23.66,45.69,48.22,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-0.22,7.98,-13.48,-35.28,-7.09,
25,Tax For Earlier Years,0.10,-2.08,-0.46,0.00,-7.81,
26,Total Tax Expenses,38.90,21.04,9.73,10.40,33.32,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,143.27,51.66,100.92,193.55,199.68,
28,Profit/Loss From Continuing Operations,143.27,51.66,100.92,193.55,199.68,
29,Profit/Loss For The Period,143.27,51.66,100.92,193.55,199.68,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),19.84,7.15,13.98,26.80,27.65,
33,Diluted EPS (Rs.),19.84,7.15,13.98,26.80,27.65,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,486.29,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,1533.67,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,23.75,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,21.78,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,16.63,17.41,25.27,23.11,23.11,
42,Tax On Dividend,0.00,0.00,5.15,4.70,4.70,
43,Equity Dividend Rate (%),20.00,20.00,20.00,35.00,32.00,
