,0,1,2,3,4,5,6
0,Profit & Loss account of UPL (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],11345.00,9495.00,8517.00,7202.00,7132.00,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,111.00,338.00,
5,Revenue From Operations [Net],11345.00,9495.00,8517.00,7091.00,6794.00,
6,Total Operating Revenues,11345.00,9641.00,8660.00,7263.00,6939.00,
7,Other Income,113.00,506.00,560.00,435.00,325.00,
8,Total Revenue,11458.00,10147.00,9220.00,7698.00,7264.00,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,5639.00,4705.00,4741.00,3517.00,3029.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-256.00,248.00,-160.00,2.00,-108.00,
13,Employee Benefit Expenses,685.00,646.00,551.00,486.00,445.00,
14,Finance Costs,307.00,272.00,185.00,135.00,149.00,
15,Depreciation And Amortisation Expenses,977.00,891.00,724.00,666.00,655.00,
16,Other Expenses,2792.00,2230.00,2168.00,1905.00,1929.00,
17,Total Expenses,11009.00,9599.00,8730.00,7115.00,6800.00,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",449.00,548.00,490.00,583.00,464.00,
19,Exceptional Items,-15.00,-10.00,-4.00,-7.00,-46.00,
20,Profit/Loss Before Tax,434.00,538.00,486.00,576.00,418.00,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,214.00,55.00,83.00,180.00,89.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,22.00,1.00,-69.00,84.00,
25,Tax For Earlier Years,0.00,0.00,-3.00,-83.00,0.00,
26,Total Tax Expenses,214.00,77.00,81.00,28.00,173.00,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,220.00,461.00,405.00,548.00,245.00,
28,Profit/Loss From Continuing Operations,220.00,461.00,405.00,548.00,245.00,
29,Profit/Loss For The Period,220.00,461.00,405.00,548.00,245.00,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),2.88,6.03,7.96,10.78,4.84,
33,Diluted EPS (Rs.),2.88,6.03,7.96,10.78,4.81,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,407.00,407.00,357.00,214.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,3.00,
43,Equity Dividend Rate (%),500.00,300.00,400.00,400.00,350.00,
