,0,1,2,3,4,5,6
0,Profit & Loss account of Vaibhav Global (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],429.76,479.54,457.02,480.47,360.23,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],429.76,479.54,457.02,480.47,360.23,
6,Total Operating Revenues,430.68,480.40,470.02,481.84,360.60,
7,Other Income,112.18,8.73,4.47,2.83,7.39,
8,Total Revenue,542.86,489.13,474.49,484.67,368.00,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,275.80,302.52,309.45,310.19,227.15,
11,Operating And Direct Expenses,47.69,52.09,48.13,50.24,41.50,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-10.67,1.41,-0.23,11.22,-5.38,
13,Employee Benefit Expenses,43.54,43.76,38.45,38.31,35.78,
14,Finance Costs,6.50,3.91,3.13,4.83,4.42,
15,Depreciation And Amortisation Expenses,4.10,3.83,3.75,8.34,5.50,
16,Other Expenses,26.39,24.79,21.88,21.52,17.91,
17,Total Expenses,410.18,448.33,438.16,456.53,339.70,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",132.68,40.80,36.33,28.14,28.29,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,132.68,40.80,36.33,28.14,28.29,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,4.99,8.80,7.78,6.88,11.23,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.41,-0.78,-2.13,0.54,-1.23,
25,Tax For Earlier Years,-0.08,-0.18,-0.11,-1.60,0.13,
26,Total Tax Expenses,5.32,7.84,5.53,5.82,10.14,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,127.37,32.97,30.79,22.32,18.16,
28,Profit/Loss From Continuing Operations,127.37,32.97,30.79,22.32,18.16,
29,Profit/Loss For The Period,127.37,32.97,30.79,22.32,18.16,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),39.26,10.11,9.46,6.86,5.59,
33,Diluted EPS (Rs.),38.77,9.80,9.20,6.69,5.59,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,102.22,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,124.93,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,3.11,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,2.54,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,86.35,16.31,0.00,0.00,0.00,
42,Tax On Dividend,3.37,3.35,0.00,0.00,0.00,
43,Equity Dividend Rate (%),337.00,100.00,0.00,0.00,0.00,
