,0,1,2,3,4,5,6
0,Profit & Loss account of Varroc Engineering (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2247.61,2514.44,2060.42,1777.37,1659.11,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,48.58,136.04,129.92,
5,Revenue From Operations [Net],2247.61,2514.44,2011.83,1641.32,1529.19,
6,Total Operating Revenues,2303.95,2573.15,2046.89,1676.01,1558.92,
7,Other Income,68.28,51.48,28.77,32.45,16.89,
8,Total Revenue,2372.22,2624.64,2075.66,1708.46,1575.81,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1460.02,1699.37,1253.58,1012.66,956.66,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",16.69,-24.45,-1.05,-6.72,-16.38,
13,Employee Benefit Expenses,218.18,219.61,175.38,143.18,126.12,
14,Finance Costs,42.38,39.20,40.15,46.85,-79.19,
15,Depreciation And Amortisation Expenses,131.69,107.52,101.61,96.28,81.93,
16,Other Expenses,382.22,409.51,349.88,300.45,294.32,
17,Total Expenses,2251.17,2450.76,1970.50,1658.45,1428.36,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",121.05,173.87,105.16,50.01,147.46,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,121.05,173.87,105.16,50.01,147.46,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,14.92,38.76,23.30,10.77,5.48,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,9.53,16.14,12.03,-3.09,-0.70,
25,Tax For Earlier Years,-2.42,-0.57,0.00,0.00,0.00,
26,Total Tax Expenses,22.03,54.33,35.33,7.68,4.77,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,99.03,119.54,69.83,42.34,142.68,
28,Profit/Loss From Continuing Operations,99.03,119.54,69.83,42.34,142.68,
29,Profit/Loss For The Period,99.03,119.54,69.83,42.34,142.68,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),7.35,8.87,4.96,3.59,13.63,
33,Diluted EPS (Rs.),7.35,8.87,4.96,3.59,1.33,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,42.23,0.70,7.28,4.49,4.03,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),300.00,400.00,50.00,35.00,35.00,
