,0,1,2,3,4,5,6
0,Profit & Loss account of Venkys (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],3116.63,3134.08,2932.93,2583.53,2383.29,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],3116.63,3134.08,2932.93,2583.53,2383.29,
6,Total Operating Revenues,3116.63,3261.02,3043.14,2688.81,2475.58,
7,Other Income,35.80,35.41,29.01,26.22,34.10,
8,Total Revenue,3152.43,3296.43,3072.15,2715.03,2509.67,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2162.83,2455.06,2069.20,1694.13,1650.81,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-119.04,73.86,-36.80,-22.04,-11.69,
13,Employee Benefit Expenses,210.03,219.87,194.49,170.74,145.87,
14,Finance Costs,28.48,29.51,31.55,49.87,77.07,
15,Depreciation And Amortisation Expenses,35.43,34.25,31.93,28.13,28.50,
16,Other Expenses,323.51,346.95,336.30,278.33,264.79,
17,Total Expenses,2791.77,3346.14,2795.62,2378.07,2303.78,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",360.66,-49.71,276.52,336.96,205.90,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,360.66,-49.71,276.52,336.96,205.90,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,92.92,0.00,99.50,112.75,68.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-21.77,0.11,4.53,5.63,
25,Tax For Earlier Years,0.00,-0.77,2.78,19.96,7.52,
26,Total Tax Expenses,92.92,-22.54,102.38,137.25,81.15,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,267.74,-27.16,174.14,199.71,124.74,
28,Profit/Loss From Continuing Operations,267.74,-27.16,174.14,199.71,124.74,
29,Profit/Loss For The Period,267.74,-27.16,174.14,199.71,124.74,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),190.06,-19.28,123.62,141.77,88.55,
33,Diluted EPS (Rs.),190.06,-19.28,123.62,141.77,88.55,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,11.27,8.45,7.04,
42,Tax On Dividend,0.00,0.00,2.32,1.72,1.43,
43,Equity Dividend Rate (%),170.00,0.00,80.00,80.00,60.00,
