,0,1,2,3,4,5,6
0,Profit & Loss account of Vesuvius India (in Rs. Cr.),Dec 20,Dec 19,Dec 18,Dec 17,Dec 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],787.31,883.76,918.65,947.36,892.62,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,38.25,73.47,
5,Revenue From Operations [Net],787.31,883.76,918.65,909.11,819.15,
6,Total Operating Revenues,791.51,887.04,925.07,911.27,821.51,
7,Other Income,20.98,29.23,22.77,13.22,12.99,
8,Total Revenue,812.49,916.27,947.84,924.49,834.50,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,314.28,338.83,361.61,311.94,310.71,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",2.59,1.34,-29.06,6.26,-9.95,
13,Employee Benefit Expenses,64.57,65.50,58.35,55.76,56.29,
14,Finance Costs,0.00,0.00,0.00,0.00,0.00,
15,Depreciation And Amortisation Expenses,26.24,26.55,27.81,29.78,27.45,
16,Other Expenses,180.68,189.58,184.00,186.29,168.82,
17,Total Expenses,740.94,792.86,805.47,775.14,701.17,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",71.55,123.41,142.37,149.35,133.33,
19,Exceptional Items,0.00,0.00,0.00,-4.44,0.00,
20,Profit/Loss Before Tax,71.55,123.41,142.37,144.91,133.33,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,20.60,37.48,52.50,54.92,51.40,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-2.10,0.38,-2.65,-4.46,-5.18,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,18.50,37.86,49.85,50.46,46.22,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,53.05,85.55,92.52,94.45,87.11,
28,Profit/Loss From Continuing Operations,53.05,85.55,92.52,94.45,87.11,
29,Profit/Loss For The Period,53.05,85.55,92.52,94.45,87.11,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),26.13,42.15,45.59,46.54,42.92,
33,Diluted EPS (Rs.),26.13,42.15,45.59,46.54,42.92,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,192.12,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,118.59,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,1.85,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,12.06,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,14.21,17.13,13.70,13.19,13.19,
42,Tax On Dividend,0.00,0.00,2.82,2.69,2.69,
43,Equity Dividend Rate (%),70.00,70.00,70.00,68.00,65.00,
