,0,1,2,3,4,5,6
0,Profit & Loss account of VIP Industries (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],613.22,1711.68,1780.55,1415.04,1280.10,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,6.75,31.03,
5,Revenue From Operations [Net],613.22,1711.68,1780.55,1408.29,1249.07,
6,Total Operating Revenues,613.22,1713.97,1784.44,1409.59,1251.16,
7,Other Income,59.36,24.05,9.52,10.43,9.39,
8,Total Revenue,672.58,1738.02,1793.96,1420.02,1260.55,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,98.29,219.06,222.10,145.43,128.04,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",148.33,75.42,-164.74,-22.47,4.34,
13,Employee Benefit Expenses,112.34,175.59,185.36,153.23,134.19,
14,Finance Costs,28.34,21.63,1.49,0.30,0.68,
15,Depreciation And Amortisation Expenses,67.03,75.07,12.74,10.85,11.45,
16,Other Expenses,171.25,396.75,442.57,341.29,301.36,
17,Total Expenses,785.47,1568.40,1597.36,1240.53,1144.38,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-112.89,169.62,196.60,179.49,116.17,
19,Exceptional Items,0.00,-48.50,0.00,0.00,0.00,
20,Profit/Loss Before Tax,-112.89,121.12,196.60,179.49,116.17,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,-28.36,36.54,67.36,60.23,40.85,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-4.15,-0.08,0.26,-1.20,
25,Tax For Earlier Years,0.00,0.00,0.51,0.43,0.13,
26,Total Tax Expenses,-28.36,32.39,67.79,60.92,39.78,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-84.53,88.73,128.81,118.57,76.39,
28,Profit/Loss From Continuing Operations,-84.53,88.73,128.81,118.57,76.39,
29,Profit/Loss For The Period,-84.53,88.73,128.81,118.57,76.39,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),5.98,6.28,9.11,8.39,5.41,
33,Diluted EPS (Rs.),5.98,6.28,9.11,8.39,5.41,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,73.51,45.22,36.74,31.10,
42,Tax On Dividend,0.00,13.08,9.03,7.27,5.94,
43,Equity Dividend Rate (%),0.00,160.00,160.00,150.00,120.00,
