,0,1,2,3,4,5,6
0,Profit & Loss account of Voltas (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],6251.65,7323.90,6658.28,5796.17,5425.02,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,23.49,62.22,
5,Revenue From Operations [Net],6251.65,7323.90,6658.28,5772.68,5362.80,
6,Total Operating Revenues,6377.97,7357.51,6693.19,5808.77,5410.36,
7,Other Income,219.96,298.75,262.55,237.10,267.34,
8,Total Revenue,6597.93,7656.26,6955.74,6045.87,5677.70,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,2617.72,2474.03,2830.60,1764.35,1678.27,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",279.25,-298.37,-273.36,99.76,-205.35,
13,Employee Benefit Expenses,465.44,515.55,488.75,422.30,406.55,
14,Finance Costs,19.10,8.84,22.93,7.50,9.66,
15,Depreciation And Amortisation Expenses,29.83,27.25,19.71,19.23,18.12,
16,Other Expenses,590.91,623.65,579.34,513.45,524.30,
17,Total Expenses,5864.51,6840.71,6350.51,5359.13,5020.67,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",733.42,815.55,605.23,686.74,657.03,
19,Exceptional Items,0.00,-54.91,25.57,-3.98,-6.01,
20,Profit/Loss Before Tax,733.42,760.64,630.80,682.76,651.02,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,163.12,167.50,189.00,179.00,179.20,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,27.75,-15.10,6.54,-0.03,
25,Tax For Earlier Years,0.00,-4.51,-7.57,-4.01,-14.34,
26,Total Tax Expenses,163.12,190.74,166.33,181.53,164.83,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,570.30,569.90,464.47,501.23,486.19,
28,Profit/Loss From Continuing Operations,570.30,569.90,464.47,501.23,486.19,
29,Profit/Loss For The Period,570.30,569.90,464.47,501.23,486.19,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),17.24,17.22,14.04,15.15,14.69,
33,Diluted EPS (Rs.),17.24,17.22,14.04,15.15,14.69,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,132.35,132.35,115.81,86.03,
42,Tax On Dividend,0.00,14.88,12.86,13.73,7.57,
43,Equity Dividend Rate (%),500.00,400.00,400.00,400.00,350.00,
