,0,1,2,3,4,5,6
0,Profit & Loss account of VRL Logistics (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],2106.11,2098.39,1908.88,1790.29,1706.44,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],2106.11,2098.39,1908.88,1790.29,1706.44,
6,Total Operating Revenues,2118.54,2109.54,1922.32,1803.09,1722.52,
7,Other Income,10.32,7.92,14.23,9.30,6.91,
8,Total Revenue,2128.86,2117.47,1936.55,1812.38,1729.43,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,1410.34,1474.34,1318.92,1297.20,1184.97,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,380.51,366.68,345.77,266.08,245.50,
14,Finance Costs,36.73,10.86,11.44,24.00,30.69,
15,Depreciation And Amortisation Expenses,167.53,100.58,97.63,98.18,89.95,
16,Other Expenses,29.42,24.53,23.39,21.62,24.34,
17,Total Expenses,2024.54,1976.99,1797.16,1707.08,1575.44,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",104.32,140.47,139.39,105.30,153.99,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,104.32,140.47,139.39,105.30,153.99,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,32.97,55.00,54.64,33.64,49.81,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-18.77,-6.44,-7.82,1.19,1.62,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.24,
26,Total Tax Expenses,14.20,48.56,46.83,34.83,51.67,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,90.11,91.92,92.56,70.47,102.31,
28,Profit/Loss From Continuing Operations,90.11,91.92,92.56,70.47,102.31,
29,Profit/Loss For The Period,90.11,91.92,92.56,70.47,102.31,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),9.97,10.17,10.17,7.72,11.26,
33,Diluted EPS (Rs.),9.97,10.17,10.17,7.72,11.26,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.03,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,123.82,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.10,0.10,
39,Indigenous Stores And Spares,0.00,0.00,0.00,100.19,107.21,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,81.31,31.62,0.00,36.50,45.62,
42,Tax On Dividend,16.71,6.50,0.00,7.43,9.29,
43,Equity Dividend Rate (%),70.00,55.00,0.00,40.00,50.00,
