,0,1,2,3,4,5,6
0,Profit & Loss account of WABCO India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],1863.50,1896.28,2806.35,2602.56,2259.50,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,40.52,193.08,
5,Revenue From Operations [Net],1863.50,1896.28,2806.35,2562.05,2066.42,
6,Total Operating Revenues,1863.50,1929.56,2877.67,2582.21,2082.77,
7,Other Income,38.89,63.88,48.94,37.65,20.87,
8,Total Revenue,1902.39,1993.44,2926.61,2619.86,2103.64,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,1135.83,1126.36,1834.54,1577.41,1275.67,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-1.60,22.32,-12.37,24.48,-37.59,
13,Employee Benefit Expenses,290.44,265.69,253.64,229.10,191.11,
14,Finance Costs,1.99,1.92,0.00,1.62,0.46,
15,Depreciation And Amortisation Expenses,90.40,90.11,71.44,61.74,61.63,
16,Other Expenses,233.06,263.71,368.45,343.72,311.90,
17,Total Expenses,1750.12,1770.10,2515.70,2238.08,1803.19,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",152.27,223.34,410.91,381.78,300.45,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,152.27,223.34,410.91,381.78,300.45,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,48.46,72.04,127.54,110.89,85.08,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-4.48,1.26,-4.44,0.40,
25,Tax For Earlier Years,0.00,-3.03,-0.05,2.51,1.49,
26,Total Tax Expenses,48.46,64.52,128.74,108.96,86.97,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,103.80,158.81,282.17,272.83,213.48,
28,Profit/Loss From Continuing Operations,103.80,158.81,282.17,272.83,213.48,
29,Profit/Loss For The Period,103.80,158.81,282.17,272.83,213.48,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),54.73,83.73,148.76,143.84,112.55,
33,Diluted EPS (Rs.),54.73,83.73,148.76,143.84,112.55,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,15.17,13.28,11.38,
42,Tax On Dividend,0.00,0.00,3.12,2.71,2.32,
43,Equity Dividend Rate (%),220.00,200.00,180.00,160.00,140.00,
