,0,1,2,3,4,5,6
0,Profit & Loss account of Westlife Development (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],0.00,0.00,0.00,0.20,0.31,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],0.00,0.00,0.00,0.20,0.31,
6,Total Operating Revenues,0.00,0.00,0.00,0.20,0.31,
7,Other Income,0.50,0.76,0.04,0.15,0.24,
8,Total Revenue,0.50,0.76,0.04,0.34,0.55,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,
13,Employee Benefit Expenses,0.00,0.00,0.00,0.00,0.00,
14,Finance Costs,0.00,0.00,0.00,0.00,0.00,
15,Depreciation And Amortisation Expenses,0.00,0.00,0.00,0.00,0.00,
16,Other Expenses,0.80,0.77,0.56,0.45,0.43,
17,Total Expenses,0.80,0.77,0.57,0.64,0.74,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-0.31,-0.01,-0.53,-0.30,-0.19,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,-0.31,-0.01,-0.53,-0.30,-0.19,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,0.00,0.00,0.00,0.00,0.00,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,0.00,0.00,0.00,0.26,
25,Tax For Earlier Years,0.00,0.03,0.00,0.00,0.00,
26,Total Tax Expenses,0.00,0.03,0.00,0.00,0.26,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,-0.31,-0.04,-0.53,-0.30,-0.45,
28,Profit/Loss From Continuing Operations,-0.31,-0.04,-0.53,-0.30,-0.45,
29,Profit/Loss For The Period,-0.31,-0.04,-0.53,-0.30,-0.45,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),-0.02,0.00,-0.03,-0.02,-0.03,
33,Diluted EPS (Rs.),-0.02,0.00,-0.03,-0.02,-0.03,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
42,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
