,0,1,2,3,4,5,6
0,Profit & Loss account of Whirlpool of India. (in Rs. Cr.),Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],5981.61,5385.28,4959.40,4358.39,3805.99,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,153.92,419.61,367.70,
5,Revenue From Operations [Net],5981.61,5385.28,4805.48,3938.78,3438.29,
6,Total Operating Revenues,5992.52,5397.65,4831.91,3940.77,3439.94,
7,Other Income,128.71,104.70,86.72,72.99,55.33,
8,Total Revenue,6121.23,5502.35,4918.63,4013.76,3495.27,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,3243.75,2969.70,2225.51,1889.87,1620.03,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-236.53,-59.75,115.29,-196.00,-31.12,
13,Employee Benefit Expenses,589.63,493.05,455.25,411.63,382.66,
14,Finance Costs,19.85,9.09,4.39,5.89,5.18,
15,Depreciation And Amortisation Expenses,129.32,111.31,101.51,87.46,76.93,
16,Other Expenses,1079.64,887.90,817.89,730.17,637.25,
17,Total Expenses,5468.34,4875.88,4377.81,3545.28,3138.52,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",652.89,626.47,540.82,468.48,356.75,
19,Exceptional Items,0.00,0.00,0.00,0.00,-0.80,
20,Profit/Loss Before Tax,652.89,626.47,540.82,468.48,355.95,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,181.16,223.20,199.54,171.64,122.86,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,-2.29,-3.72,-10.48,-17.59,-5.60,
25,Tax For Earlier Years,-2.27,-0.06,1.09,3.94,-1.33,
26,Total Tax Expenses,176.60,219.42,190.15,157.99,115.93,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,476.29,407.05,350.67,310.49,240.02,
28,Profit/Loss From Continuing Operations,476.29,407.05,350.67,310.49,240.02,
29,Profit/Loss For The Period,476.29,407.05,350.67,310.49,240.02,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),37.54,32.08,27.64,24.47,18.92,
33,Diluted EPS (Rs.),37.54,32.08,27.64,24.47,18.92,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,63.44,50.76,38.07,0.00,0.00,
42,Tax On Dividend,13.04,10.43,7.75,0.00,0.00,
43,Equity Dividend Rate (%),50.00,50.00,40.00,30.00,0.00,
