,0,1,2,3,4,5,6
0,Profit & Loss account of Wipro (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,
1,,12 mths,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,,
3,Revenue From Operations [Gross],50299.40,50387.70,48029.80,44710.00,45639.60,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,
5,Revenue From Operations [Net],50299.40,50387.70,48029.80,44710.00,45639.60,
6,Total Operating Revenues,50299.40,50407.00,48123.80,44710.00,46047.80,
7,Other Income,2382.90,2476.60,2568.60,2479.60,2645.90,
8,Total Revenue,52682.30,52883.60,50692.40,47189.60,48693.70,
9,EXPENSES,,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,12378.40,12505.10,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",34.50,159.90,-55.30,57.70,164.00,
13,Employee Benefit Expenses,26467.30,26171.80,23808.50,21756.20,21854.40,
14,Finance Costs,402.60,535.20,524.90,384.30,468.00,
15,Depreciation And Amortisation Expenses,1349.30,1141.10,934.30,1014.80,1047.70,
16,Other Expenses,11155.90,691.20,1962.40,12472.70,12285.60,
17,Total Expenses,39997.50,41875.90,40821.90,37155.30,38006.60,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",12684.80,11007.70,9870.50,10034.30,10687.10,
19,Exceptional Items,0.00,0.00,0.00,0.00,0.00,
20,Profit/Loss Before Tax,12684.80,11007.70,9870.50,10034.30,10687.10,
21,Tax Expenses-Continued Operations,,,,,,
22,Current Tax,2623.90,2206.70,2272.50,2434.50,2430.40,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,120.30,-16.00,-123.00,95.00,
25,Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,
26,Total Tax Expenses,2623.90,2327.00,2256.50,2311.50,2525.40,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,10060.90,8680.70,7614.00,7722.80,8161.70,
28,Profit/Loss From Continuing Operations,10060.90,8680.70,7614.00,7722.80,8161.70,
29,Profit/Loss For The Period,10060.90,8680.70,7614.00,7722.80,8161.70,
30,OTHER ADDITIONAL INFORMATION,,,,,,
31,EARNINGS PER SHARE,,,,,,
32,Basic EPS (Rs.),18.36,14.88,12.67,16.26,16.80,
33,Diluted EPS (Rs.),17.71,14.84,12.67,16.23,16.75,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,
41,Equity Share Dividend,0.00,688.70,545.40,452.50,729.10,
42,Tax On Dividend,0.00,0.00,0.00,92.10,148.50,
43,Equity Dividend Rate (%),50.00,50.00,50.00,50.00,100.00,
