,title,price,area,bhk,descrp
0,2 BHK Independent Builder Floor in Rama Park,"₹ 29 Lac₹ 4,296/sq.ft.",675 sq.ft. (63 sq.m.) Super built-up Area,2 BHK2 Baths,Luxury 2bhk builder floor .Located at dwarka mor .Which is a10mint walking distance from dwarka morh .Loan facilities available. Additional details : Piped gas facility is available. The kitchen has been built with modular fittings. Partial power backup available. The house has muncipal supply. Each house has a dedicated water tank. You can easily park your car inside the compound. There is als...
1,3 BHK Independent Builder Floor in Dwarka Mor,"₹ 36 Lac₹ 3,913/sq.ft.",920 sq.ft. (85 sq.m.) Carpet Area,3 BHK2 Baths,"3-Bedroom No commission 90% loan available from nationalized banks and nbfc at best rates. Three bed rooms A beautiful wide drawing and dinning room with false ceiling, Modular kitchen, Wall almirah in all rooms, Reserved car parking, Two bathroom with tile work up to roof height, Tv panels and dressing table Branded fittings and attachments, Attractive front elevation Texture paint in all room..."
2,4 BHK Residential Apartment in Moti Nagar,"₹ 2.67  - 3.75 Cr₹ 10,714/sq.ft.","2,494-3,500 sq.ft. (232-325 sq.m.) Super built-up Area",4 BHK,"This well-known project offers 4 BHK apartments in Moti Nagar, Delhi West. With a super built-up area, ranging from 2494.0 sq. ft. to 3500.0 sq. ft., the apartments are available at an economical price range of Rs. 2.67 Crore to Rs. 3.75 Crore. There are 23 towers. A close attention has been paid to each detail for a comfortable living. It has Car Parking, Banquet Hall, Gymnasium, Toddler Pool,..."
3,2 BHK Residential Apartment in Moti Nagar,"₹ 1.6  - 2.18 Cr₹ 15,385/sq.ft.","1,040-1,418 sq.ft. (97-132 sq.m.) Super built-up Area",2 BHK2 Baths,"Make DLF Capital Greens your next home. This project offers 2 BHK flats in Moti Nagar, Delhi West. With a super built-up area ranging from 1040.0 sq. ft. to 1418.0 sq. ft., these flats combine the finest design and amenities in Delhi West to provide a living experience unlike any other. It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. T..."
4,3 BHK Independent Builder Floor in Uttam Nagar,"₹ 34  - 52.57 Lac₹ 4,914/sq.ft.","700-1,000 sq.ft. (65-93 sq.m.) Super built-up Area",3 BHK,"Shree radhe krishana homes in uttam nagar, delhi west by shree radhe krishana associates is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk and 3bhk The size of the floor is from 37.16 sq. Mt to 92.9 sq. Mt Shree radhe krishana homes price r..."
5,2 BHK Independent Builder Floor in Uttam Nagar,"₹ 22  - 32.6 Lac₹ 4,476/sq.ft.",500-650 sq.ft. (46-60 sq.m.) Super built-up Area,2 BHK2 Baths,"Shree radhe krishana homes in uttam nagar, delhi west by shree radhe krishana associates is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk and 3bhk The size of the floor is from 37.16 sq. Mt to 92.9 sq. Mt Shree radhe krishana homes price r..."
6,3 BHK Independent Builder Floor in Uttam Nagar West,"₹ 34  - 54.4 Lac₹ 4,533/sq.ft.","750-1,200 sq.ft. (70-111 sq.m.) Super built-up Area",3 BHK,"Srk divine homes in uttam nagar west, delhi west by shree radhe krishana associates is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk and 3bhk The size of the floor is from 37.16 sq. Mt to 111.48 sq. Mt Srk divine homes price ranges from 15..."
7,2 BHK Independent Builder Floor in Uttam Nagar West,"₹ 22  - 32 Lac₹ 4,333/sq.ft.",500-750 sq.ft. (46-70 sq.m.) Super built-up Area,2 BHK,"Srk divine homes in uttam nagar west, delhi west by shree radhe krishana associates is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk and 3bhk The size of the floor is from 37.16 sq. Mt to 111.48 sq. Mt Srk divine homes price ranges from 15..."
8,4 BHK Independent Builder Floor in Mohan Garden,"₹ 62 Lac₹ 6,896/sq.ft.",899 sq.ft. (84 sq.m.) Carpet Area,4 BHK3 Baths,"The builder floor of your dream is available for sale! Get ready to buy this beautiful freehold, fully furnished independent builder floor, with carpet area of 99.9 sq. Yards at mohan garden, delhi west. The property can be given as furnished, unfurnished, or semi furnished. This property is located on 1st floor, which comprises of 4 bedrooms, 3 bathrooms, 2 beds, 4 wardrobes, modular kitchen, ..."
9,4 BHK Independent Builder Floor in Paschim Vihar,₹ 2.7  - 4.5 Cr,"2,250-3,600 sq.ft. (209-334 sq.m.) Carpet Area",4 BHK4 Baths,"King homes is situated in one of the premier location in paschim vihar, delhi west. All the floors are brand new , airy and well ventilated. It's location allows easy access to all public transport mediums, that makes extremely easy to commute and be well connected to other parts of the city"
10,4 BHK Residential Apartment in Moti Nagar,"₹ 3.49  - 4.5 Cr₹ 13,786/sq.ft.","2,494-3,500 sq.ft. (232-325 sq.m.) Super built-up Area",4 BHK,"Make DLF Capital Greens your next home. This project offers 4 BHK flats in Moti Nagar, Delhi West. With a super built-up area ranging from 2494.0 sq. ft. to 3500.0 sq. ft., these flats combine the finest design and amenities in Delhi West to provide a living experience unlike any other. It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. T..."
11,2 BHK Independent Builder Floor in Paschim Vihar,"₹ 1.5 Cr₹ 11,538/sq.ft.","1,300 sq.ft. (121 sq.m.) Super built-up Area",2 BHK2 Baths,"Here is an excellent deal that awaits your pristine attention! 2 bhk independent builder floor available for sale in paschim vihar, delhi west, delhi / ncr. Property configurations: This beautiful builder floor is spread across an area of 1300 sq. Ft. It consists of 2 bedrooms, 2 bathrooms, study room and 3 balconies. The balcony offers a great view and is a place to enjoy at any time. Being we..."
12,2 BHK Residential Apartment in Moti Nagar,"₹ 1.46  - 1.91 Cr₹ 13,012/sq.ft.","1,040-1,418 sq.ft. (97-132 sq.m.) Super built-up Area",2 BHK2 Baths,"The project offers 2 BHK apartments in Moti Nagar, Delhi West. These apartments have a super built-up area, ranging from 1040.0 sq. ft. to 1418.0 sq. ft. and are available at a price range starting from Rs. 1.46 Crore to Rs. 1.91 Crore. It is a ready to move project, with 23 towers and features an array of facilities including a Lawn Tennis Court, Gated Community, CCTV Camera Security, 24x7 Sec..."
13,3 BHK Residential Apartment in Dwarka Mor,"₹ 32  - 42 Lac₹ 4,471/sq.ft.","700-1,000 sq.ft. (65-93 sq.m.) Super built-up Area",3 BHK,"Live in a world of comfort and style at Adarsh Affordable Apartments, located in Dwarka Mor, Delhi West. Book your 3 BHK apartment now. Sprawling across a super built-up area of 700.0 sq. ft. - 1000.0 sq. ft., these are a ready to move apartments. These are available at a price range of Rs. 32 Lac to Rs. 42 Lac. All the 1 towers have with aesthetically crafted interiors as well as exteriors. Th..."
14,2 BHK Residential Apartment in Dwarka Mor,"₹ 20  - 30.6 Lac₹ 4,000/sq.ft.",500-765 sq.ft. (46-71 sq.m.) Super built-up Area,2 BHK2 Baths,"The project offers 2 BHK apartments in Dwarka Mor, Delhi West. These apartments have a super built-up area, ranging from 500.0 sq. ft. to 765.0 sq. ft. and are available at a price range starting from Rs. 20 Lac to Rs. 30.6 Lac. It is a ready to move project, with 1 towers and features an array of facilities including a Car Parking, Gated Community, Fire Fighting Systems, Vastu Compliant, 24/7 ..."
15,3 BHK Residential Apartment in Uttam Nagar West,₹ 37.49 Lac,900 sq.ft. (84 sq.m.) Carpet Area,3 BHK3 Baths,"Maharaja Floors is a residential project, offering a range of 3 BHK flats in Uttam Nagar West, Delhi West. It hosts exclusively designed 1 towers, each presenting an epitome of class and simplicity. We bring you a chance to book your 3 BHK flat that has a carpet area of 900.0 sq. ft. It is a ready to move property. With an impressive layout and a comprehensive range of amenities like 24/7 Power..."
16,3 BHK Residential Apartment in Kirti Nagar,"₹ 5 Cr₹ 21,674/sq.ft.","2,306 sq.ft. (214 sq.m.) Super built-up Area",3 BHK3 Baths,"This is a meticulously designed 3 bhk apartment located in kirti nagar, delhi west. It is a freehold property. The flat is a spacious property and is under construction. Located in an integrated society of , it has 3 bathroom(s) and more than 3 balcony(s). It is located on 9th floor. The apartment is approximately priced at rs. Rs 5 crore and its per sq.Ft. Cost is rs. 21674.00."
17,3 BHK Residential Apartment in Moti Nagar,"₹ 2.4 Cr₹ 14,879/sq.ft.","1,613 sq.ft. (150 sq.m.) Carpet Area",3 BHK2 Baths,"Higher specification, freehold, semi furnished apartment at DLF Capital Greens, Moti Nagar ready to move in with a fully equipped kitchen, wardrobes, fixtures and fittings installed by DLF. Direct sale by Owner of a 3BHK apartment with super area 1613 sq feet (apartment faces North East, in Building B, Unit 6, 28th Floor (B286). It comes with 2 covered car parking lots. It has 2 bathrooms, and ..."
18,2 BHK Independent Builder Floor in Paschim Vihar,₹ 88 Lac,756 sq.ft. (70 sq.m.) Carpet Area,2 BHK2 Baths,"King homes is situated in one of the premier location in paschim vihar, delhi west. All the floors are brand new , airy and well ventilated. It's location allows easy access to all public transport mediums, that makes extremely easy to commute and be well connected to other parts of the city"
19,3 BHK Residential Apartment in Mohan Garden,₹ 40 Lac,900 sq.ft. (84 sq.m.) Carpet Area,3 BHK3 Baths,"Make PS Homes your next home. Book your 3 BHK flat in Mohan Garden, Delhi West. With a carpet area of 900.0 sq. ft., the flat combines the finest design and amenities in Delhi West to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 40 Lac. It is a ready to move property which is unique in its perfect harmony of classic form and modern..."
